Nationality,Which SAP Specialisation would you like to apply for?,Do you have a computer to do this course?,How do you connect to the internet?,Which country do you currently live in?,Aptitude test performance,Gender,Highest Education ACN,Current career role,Nearest Metropolitan area,How close do you live to this city/town?,Disability,Age,Have you created a profile on the Yoma platform?
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Automobile technician,Osogbo,I live in this town/city,No,37,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Ughelli,I live in this town/city,No,29,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigerian,Passable,Male,Bachelor's Degree,,Osogbo,I live in this town/city,No,43,Yes
Nigerian,Technology Consultant Associate,I share a computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Ibadan,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,,Ile-Oluji,I live in this town/city,No,34,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Engineer,Ipaja /Lagos,I live in this town/city,No,31,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Owerri,I live 5-10km away from this town/city,No,31,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),Customer Engagement Senior Associate,Abuja,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,Middle Management,Lagos,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Postgraduate Diploma,Transcriber,Enugu,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Other,Sales representative,Egbeda,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Postgraduate Degree (e.g. Masters),ADMINISTRATIVE ASSISTANT,WARRI,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,Assistant,Onitsha,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Auchi,I live in this town/city,No,25,Yes
Nigerian,Developer Associate,"I don't have access to a computer, but can arrange to get/use one.","I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Passable,Female,High School,,ABEOKUTA,I live in this town/city,No,23,No
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,High School,,Lagos,I live in this town/city,No,20,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,Bachelor's Degree,,Ikorodu Lagos Nigeria.,I live in this town/city,No,32,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Facility Manager,Lagos,I live in this town/city,No,29,Yes
Nigerian,Technology Consultant Associate,"I have access to a computer, but it's not mine","I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,"Enugu, Nigeria",I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigerian,Passable,Male,Bachelor's Degree,,Port Harcourt,I live in this town/city,No,25,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Port Harcourt,I live 5-10km away from this town/city,No,32,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Engineering data analysis,Aba,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,F.C.T,I live more than 10km away from this town or city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2GB or less a month",Nigerian,Passable,Male,Bachelor's Degree,Teaching,Enugu,I live 5-10km away from this town/city,No,31,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigerian,Passable,Male,Bachelor's Degree,,Sokoto,I live in this town/city,No,1,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Tertiary Diploma,,Abuja,I live 5-10km away from this town/city,No,32,Yes
Nigerian,End User Support Associate,"I have access to a computer, but it's not mine",I have very limited mobile data.,Nigeria,Passable,Male,Bachelor's Degree,,Port Harcourt,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Onitsha,I live 5-10km away from this town/city,No,30,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigerian,Strong,Male,Bachelor's Degree,,Alimosho,I live in this town/city,No,34,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigerian,Adequate,Female,Postgraduate Degree (e.g. Masters),,Ibadan,I live in this town/city,No,36,No
Nigerian,Technology Consultant Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Abuja,I live in this town/city,No,23,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Enugu,I live in this town/city,No,33,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Yenagoa,I live more than 10km away from this town or city,No,34,No
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,,Lagos,I live in this town/city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Store manager,Abuja,I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,FCT,I live in this town/city,No,38,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Honour's Degree / Post-Graduate Diploma (NQF 8),,Wamakko,I live in this town/city,No,0,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Kaduna,I live in this town/city,No,26,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,"Rumuodomaya, Port Harcourt.",I live in this town/city,No,33,No
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Ogbomoso,I live in this town/city,No,34,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Ogudu,I live in this town/city,No,39,Yes
Nigerian,Technology Consultant Associate,I share a computer,"I use mobile data, and can afford 2-4GB per month.",Nigerian,Passable,Male,Bachelor's Degree,Information Tech.,Awka,I live within 5km of this town/city,No,34,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,High School,,Abuja,I live in this town/city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Architect,"Abuja, Nigeria",I live in this town/city,No,23,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Bachelor's Degree,Short-term rentals virtual assistant,Asaba,I live in this town/city,No,32,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Passable,Male,Bachelor's Degree,,Gombe,I live in this town/city,No,28,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Female,Postgraduate Diploma,,Abuja,I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Port Harcourt,I live 5-10km away from this town/city,No,29,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Damaturu,I live in this town/city,No,24,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Process Engineer,Lagos,I live 5-10km away from this town/city,No,33,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Ibadan,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I share a computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Tertiary Diploma,,"UYO, AKWA IBOM STATE",I live in this town/city,No,33,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Kaduna,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,Customer Service Officer,Port Harcourt,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Lagos,I live in this town/city,No,30,Yes
Nigerian,Technology Consultant Associate,I share a computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,,Lagos,I live in this town/city,No,26,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Quality control Officer,Port-Harcourt,I live in this town/city,No,35,No
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Very Strong,Female,University Undergraduate,,Abeokuta,I live in this town/city,No,20,No
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Female,Bachelor's Degree,,Ilorin,I live in this town/city,No,26,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,System Administrator/Network Engineer,"Ogba Ikeja, Lagos",I live within 5km of this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Postgraduate Degree (e.g. Masters),Investment Officer,Dutse,I live in this town/city,No,36,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Postgraduate Diploma,ICT Teacher,Enugu,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I only have a smart phone,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,Pharmacist,Gusau,I live in this town/city,No,35,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,"ICT Officer, KADRIMA",Kaduna,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Minna,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Female,Bachelor's Degree,,Abuja,I live in this town/city,Yes,24,Yes
Nigerian,End User Support Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Passable,Male,Tertiary Diploma,Banker,"FCT, Abuja",I live more than 10km away from this town or city,No,26,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Analyst,Abuja,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,Civil Engineer,Abuja,I live in this town/city,No,26,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Strong,Male,Bachelor's Degree,Microsoft Azure Support Engineer.,Lagos,I live in this town/city,No,29,No
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,,Port Harcourt,I live in this town/city,No,26,Yes
Nigerian,Developer Associate,I only have a smart phone,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Kaduna,I live in this town/city,No,27,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigerian,Passable,Male,Bachelor's Degree,Customer service officer,Lagos,I live in this town/city,No,24,Yes
Nigerian,Technology Consultant Associate,"I have access to a computer, but it's not mine","I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,"Port Harcourt, River State",I live in this town/city,No,36,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Male,Bachelor's Degree,Site Engineer,Jigawa,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Female,Bachelor's Degree,,Lagos,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I share a computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Very Strong,Male,University Undergraduate,,Kaduna,I live in this town/city,No,27,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,Teacher,IKORODU,I live in this town/city,No,32,Yes
Nigerian,Developer Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Strong,Male,Bachelor's Degree,,Owerri,I live more than 10km away from this town or city,No,33,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,Customer service officer,Ajah,I live in this town/city,No,28,Yes
Nigerian,Technology Consultant Associate,I only have a smart phone,I have very limited mobile data.,Nigeria,Strong,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Makurdi,I live in this town/city,No,28,Yes
Nigerian,End User Support Associate,I only have a smart phone,"I use mobile data, and can afford 2GB or less a month",Nigeria,Adequate,Female,Advanced Diploma / Post-graduate Certificate (NQF 7),,Ibadan,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigeria,Very Strong,Male,Bachelor's Degree,,"Warri, Delta",I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer but it is faulty,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Ilorin,I live in this town/city,No,23,Yes
Nigerian,Developer Associate,I share a computer,"I use mobile data, and can afford 2GB or less a month",Nigeria,Passable,Female,University Undergraduate,,Maiduguri,I live in this town/city,No,23,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),Cashier,Sapele/ Delta state,I live in this town/city,No,29,Yes
Nigerian,Technology Consultant Associate,I have my own computer,"I use mobile data, and can afford 2-4GB per month.",Nigeria,Adequate,Male,Advanced Diploma / Post-graduate Certificate (NQF 7),,Port Harcourt,I live in this town/city,No,35,Yes
Nigerian,End User Support Associate,I have my own computer,"I have reliable internet (data/wifi), around 5GB per month.",Nigerian,Passable,Female,Postgraduate Diploma,class teacher,FCT Abuja,I live in this town/city,No,28,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Passable,Male,Bachelor's Degree,,Delta state,I live in this town/city,No,30,Yes
Nigerian,Developer Associate,I have my own computer,"I have reliable internet (wifi/data), more than 5GB per month.",Nigeria,Adequate,Male,Bachelor's Degree,,Ibafo,I live in this town/city,No,31,Yes
